title,company,location,link
"2020년도 4직급(대졸, 경력) 직원",한국중부발전,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=31f49947a7db3a2f
[2020년 수도권 혁신기업 온라인 박람회] 2020년 하반기 정규직 공개,인피니트헬스케어,부산 해운대구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=634e13852762873f
2020년도 하반기 중형선박설계사업단,한국해양과학기술원 부설 선박해양플랜트연구소,부산 강서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=26a06973f1961a18
"자동제어, 펌웨어(Firmware) 외 신입/경력 정규직",가우리기술,부산 강서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=607b65b7b1fea990
2020년도 4직급(대졸)직원 (정보통신),한국중부발전,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5dde760c771524f9
"C언어, 자바언어 개발자(웹 개발자)",에스지오션,부산 연제구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6931676a6424c5a0
2020년도 4직급(대졸)직원 (발전(기계)),한국중부발전,충청남도 보령,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6b8c152903e82432
2020년 한국해양수산개발원 제1기간제 연구직 신규,한국해양수산개발원,부산광역시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e21ff7d4c5e1394e
(주) 마리마켓 온라인 쇼핑몰 C경력자or신입,마리(marie),부산,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=07120d7a6d15f717
2020.03.01.부 겸임 및 초빙교원 신규채용 공고,경기대학교,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=78b590cc01fbba76
"무역사무·서류, 무역영업 신입/경력 정규직",조인트레이딩,부산 사상구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2bf96b97fd7301d9
직원,경남테크노파크,창원 마산회원구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2c31d2a522845452
2020년 하반기 전문직 신규,지방공기업평가원,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e81944d3ef39b5ff
2020년 동래여성인력개발센터 지혁혁신프로젝트 취업매니저,부산동래여성인력개발센터,부산 부산진구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fb5f5668b34b2bf7
[피앤피시큐어] 2020년 수시 (연구개발/연구소),피앤피시큐어,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6c6f9c8ec499732a
오송첨단의료산업진흥재단 첨단의료기기개발지원센터 2020년 제3차 기간제근로자,오송첨단의료산업진흥재단,청주 흥덕구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ee2f0de74d5a9901
룰루랩(삼성 C-Lab기업) - 마케팅 경력자,룰루랩,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9c936da3af888b58
"[13시~18시 주5일]악세사리 조립(C링,구핀) 경력자 남대문",프로포즈,서울 중구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1c214ed45fab2ce9
