title,company,location,link
정규직,None,부산 동래구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0dcab3e3882d3868
백엔드 경력직 개발자 (Node JS),포지크리엑티브,부산 연제구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=12d5201c2e065350
용접·화염절단 신입/경력 정규직,None,경상북도 경산,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=477f607ad5df3fd0
"(투잡가능,나이제한없음) 제이에스유통",None,경상남도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e1d7b75d7437dd84
비즈개발실 서버 개발자 (경력),None,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=736eb193e417cee2
"[연봉3,000만원이상]산업단지닷컴 경남지사 남.여 신입,경력직원",None,경상남도 김해,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=08e13f4511923429
평택 고덕 삼성 반도체 조공 숙식 제공 연장 야간 초보 단기 알바 건설 현장,None,경기도 평택,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a8acd001f9180fcc
현대오토에버 경력사원 대규모 상시,현대오토에버,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a5cce44e4a847727
고급 중식 레스토랑 JS가든 압구정점에서 홀서빙 직원,None,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6b5c43c142368a2f
"주목 건설현장 시스템동바리,비계설치및해체 정리업무",None,경상북도 경산,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b2784f6f69588e51
hybrid app 개발자,vitalcontact,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=99d891504797baa5
NODE. JS 프로그래머 경력 정규직,올이프트리,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1a238b15850d27c6
