공고,회사명,공고 링크,위치,모집 기한,자격 조건,기술 스택
ZMLOps 개발자 모집 - Spring Boot(Kotlin) 백엔드 개발자,네이버제트,https://www.jobkorea.co.kr/Recruit/GI_Read/39832165?Oem_Code=C1&logpath=1&stext=spring&listno=1,경기 성남시,~10/31(월),"['경력', '정규직', '경기']",컨텐츠개발
쇼핑몰 빌더 Back-End (JAVA Spring) 웹 개발자 정규직 채용,코드블럭(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44134965&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=edd7f06f-2572-4750-99a6-70b54db4e9ca,경기 성남시 분당구 ,~ 11/04(금),"['신입·경력', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' Ajax', ' HTML ']"
IT개발·데이터(Java&Spring&JSP&ERP外 2개 부문) 채용,(주)매그넘브릿지,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44126733&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=edd7f06f-2572-4750-99a6-70b54db4e9ca,경기전체 ,~ 11/03(목),"['신입·경력', '학력무관']","['ERP', ' Java', ' JSP', ' React', ' Spring ']"
Java Spring 기반 개발자 채용 공고,(주)해나소프트,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44174793&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=edd7f06f-2572-4750-99a6-70b54db4e9ca,경기 시흥시 ,~ 11/10(목),"['경력무관', '대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' Ajax', ' Java ']"
Java/Spring 기반 웹 솔루션 개발자 채용,(주)다누시스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43734222&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=edd7f06f-2572-4750-99a6-70b54db4e9ca,경기전체 ,상시채용,"['신입·경력', '학력무관']","['웹개발', ' S/W', ' Java', ' JPA', ' Spring ']"
[신입/경력] JAVA / Spring Boot  / C# 개발자 모집,(주)카티스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43985688&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=edd7f06f-2572-4750-99a6-70b54db4e9ca,경기 안양시 만안구 ,~ 10/15(토),"['신입·경력', '초대졸↑']","['웹개발', ' S/W', ' Java', ' MySQL', ' SQL ']"
"솔루션웹개발자/MS-SQL, JAVA, JSP, Spring boot ,WIndows",(주)대연씨앤아이,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44107452&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=edd7f06f-2572-4750-99a6-70b54db4e9ca,경기 광명시 ,~ 10/30(일),"['신입·경력', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' Java', ' MSSQL', ' Windows ']"
[4.5일제][슈프리마] SI사업 SW개발자 (Java/Spring boot)모집,(주)슈프리마,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43817236&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=edd7f06f-2572-4750-99a6-70b54db4e9ca,경기 성남시 분당구 ,채용시,"['경력3년↑', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' S/W', ' .NET ']"
[4.5일제][슈프리마] C++ Spring Boot 기반 백엔드 개발자 모집,(주)슈프리마,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44168223&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=edd7f06f-2572-4750-99a6-70b54db4e9ca,경기 성남시 분당구 ,채용시,"['경력무관', '학력무관']","['백엔드/서버개발', ' C++', ' Java', ' Spring', ' SpringBoot ']"
SW 플랫폼(Spring 기반) WEB 개발 인재 모집(신입 & 경력),(주)피씨티,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43784057&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=edd7f06f-2572-4750-99a6-70b54db4e9ca,경기 성남시 수정구 ,~ 10/16(일),"['경력무관', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' HTML', ' Java ']"
