공고,회사명,공고 링크,위치,모집 기한,자격 조건,기술 스택
[전액무료] IT취업 자바/파이썬/인공지능/빅데이터 교육생 모집,휴먼교육센터학원,https://www.jobkorea.co.kr/Recruit/GI_Read/39816586?Oem_Code=C1&logpath=1&stext=파이썬&listno=1,충남 천안시 외,~10/24(월),"['신입·경력', '학력무관', '연수생/교육생']","백엔드, 프론트엔드, IT학원, 데이터베이스, DB2, DBA, MS-SQL, MySQL, 데이터마이닝, 네트워크관리, 보안기술, 시스템운영, 웹프로그래머, Java, jsp, MySQL, Python, .NET, Java, Python, Python, 인공지능(AI), 빅데이터, 사물인터넷(IoT), 유지보수, 하드웨어, DSP, FPGA, 소프트웨어"
php또는 파이썬 개발자,㈜블랙망고,https://www.jobkorea.co.kr/Recruit/GI_Read/39945873?Oem_Code=C1&logpath=1&stext=파이썬&listno=2,충남 천안시,~01/10(화),"['신입', '학력무관', '정규직']","웹에이전시, php, Python"
python Data 전처리 업무 담당자 모집,㈜지에스아이오토모티브,https://www.jobkorea.co.kr/Recruit/GI_Read/39888535?Oem_Code=C1&logpath=1&stext=파이썬&listno=3,대전 유성구,상시채용,"['경력무관', '학력무관', '정규직']",Python
파이썬 및  웹 프로그램 개발자 채용공고,㈜엔이에스,https://www.jobkorea.co.kr/Recruit/GI_Read/39767102?Oem_Code=C1&logpath=1&stext=파이썬&listno=4,충북 청주시 외,~12/22(목),"['경력무관', '학력무관', '정규직 외']","소프트웨어개발, 솔루션, BigData, CRM, ERP, 데이터베이스, HTML, Java, php, 응용프로그래머, 전산전공, C, C++, Python, HTML코딩"
(재)광주정보문화산업진흥원 AI게임/VR/유니티/파이썬/콘텐츠/디자인 무료 교육생,㈜국제,https://www.jobkorea.co.kr/Recruit/GI_Read/39761243?Oem_Code=C1&logpath=1&stext=파이썬&listno=5,대전,~10/31(월),"['경력무관', '학력무관', '연수생/교육생']","학원강사, .NET, 웹프로그래머, HDML, HTML, Java, MySQL, Python, 웹접근성, 웹퍼블리셔, 웹표준, 자바스크립트, HTML5, HTML코딩, UI·UX, Python, 인공지능(AI), 빅데이터, 사물인터넷(IoT), 머신러닝(ML), 딥러닝, 하둡(Hadoop), Spark, Hive, R, Perl, tensorflow, 챗봇(Chatbot), 데이터분석"
"프로그래밍(JAVA, Python) / 디자인 / OA 분야 시간강사 채용",㈜한국아이티전문학원,https://www.jobkorea.co.kr/Recruit/GI_Read/39566979?Oem_Code=C1&logpath=1&stext=파이썬&listno=6,충북 청주시,~12/01(목),"['신입·경력1년↑', '학력무관', '정규직 외']","직업전문학교, Excel, OA, PowerPoint, Java, Python, 디자인강의, 프로그램강의, OA강의"
통계/빅데이터 분야 Python 인력모집,에르타,https://www.jobkorea.co.kr/Recruit/GI_Read/39490310?Oem_Code=C1&logpath=1&stext=파이썬&listno=7,대전 전지역 외,상시채용,"['경력무관', '대졸↑', '정규직']","Java, jsp, 아이폰, 안드로이드, 증강현실, C#, Java, Python, 빅데이터, R"
"[경력&신입] 시스템 및 솔루션 개발-Python,Java(정규직) 채용",㈜아이티존,https://www.jobkorea.co.kr/Recruit/GI_Read/39187528?Oem_Code=C1&logpath=1&stext=파이썬&listno=8,대전 유성구,~10/25(화),"['신입·경력3년↑', '초대졸↑', '정규직']","C언어, AJAX, API, C++, Linux, Python, 빅데이터, 머신러닝(ML), 딥러닝, 하둡(Hadoop), 소프트웨어"
프로그래머 모십니다 [java/jsp /c#/python],오아시스스토리㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39141441?Oem_Code=C1&logpath=1&stext=파이썬&listno=9,대전 중구 외,~10/20(목),"['경력무관', '학력무관', '정규직']","모바일앱개발, 소프트웨어개발, 솔루션, ERP, jsp, Python, SQL, .NET, C, C#, Python, SQL, Python, 인공지능(AI), 사물인터넷(IoT), 머신러닝(ML), 딥러닝"
"프로그래밍 전문 강사 채용 (JAVA, 자바, C, C#, C++, Android, Spring, JavaScript, Python 등 )",모블,https://www.jobkorea.co.kr/Recruit/GI_Read/39399268?Oem_Code=C1&logpath=1&stext=파이썬&listno=10,충남 천안시,상시채용,"['신입·경력', '초대졸↑', '정규직']","IT학원, 프로그램강의"
"2023년 신입사원 대규모 공개채용(연구, 검증, 개발)",슈어소프트테크㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39752327?Oem_Code=C1&logpath=1&stext=파이썬&listno=11,대전 유성구 외,~10/16(일),"['신입', '학력무관', '정규직']","소프트웨어개발, 솔루션, 검증, 리눅스, 유닉스, 테스터, QA, Windows, 웹프로그래머, Java, jsp, 응용프로그래머, 전산전공, C, C#, C++, C++Builder, Java, Oracle, Pro-C, Python, VisualBasic, VisualC, VisualC++, Windows, PLC, Python, 빅데이터, 딥러닝, R, 소프트웨어, 연구관리, 연구원, R&D, 임베디드, PLC"
"[취업연계국비지원]자동화,소프트웨어개발,임베디드,IoT, 전기 교육생모집",대한상공회의소 충남인력개발원,https://www.jobkorea.co.kr/Recruit/GI_Read/39927367?Oem_Code=C1&logpath=1&stext=파이썬&listno=12,충남,~01/10(화),"['신입·경력', '학력무관', '연수생/교육생']","산업용로봇, 스마트팩토리, 스마트팩토리 솔루션, 승강기설치 및 유지보수, 자동화시스템설계 제어, 전기내선공사 제어, TCP IP통신, 직업전문학교, C, C++, Embedded, Python, 임베디드, PLC, Python, 인공지능(AI), 사물인터넷(IoT), 유지보수, 전기, 전기설비, PLC, 3D설계, 전기설계, CAD, CAM, 전기·전자, 로봇·자동화"
2022 하반기 LIG넥스원 공개채용,엘아이지넥스원㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39896159?Oem_Code=C1&logpath=1&stext=파이썬&listno=13,대전 전지역 외,~10/23(일),"['신입·경력', '대졸↑', '정규직']","기계, 메카트로닉스, 데이터베이스, DBA, MS-SQL, MySQL, Oracle, 데이터마이닝, 네트워크관리, 네트워크엔지니어, 보안관리, 서버관리자, 시스템운영, Linux, Unix, Windows, 응용프로그래머, 전산전공, 증강현실, C, C#, C#Builder, C++, C++Builder, Java, Linux, Oracle, Python, SQL, 유지보수, 펌웨어, 하드웨어, 소프트웨어, 품질, 품질검사, 품질관리, 품질보증, 기계, 기계설계, 기구설계, 전기설계, AutoCad, CAD, CAM, 구조, 기계설비, 품질관리, 전기·전자, 정보통신·IT, 로봇·자동화, 신소재개발, 연구·실험·기술"
JB(주)(구 중부도시가스) 2022년 하반기 신입/경력직 채용,제이비㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39891081?Oem_Code=C1&logpath=1&stext=파이썬&listno=14,충남,~10/14(금),"['신입·경력', '대졸↑', '정규직']","제이비㈜, 가스설비, 결산, 경영지원, 관리회계, 급여관리, 더존, 부가세신고, 세무, 원가회계, 전산회계, 회계, 회계감사, SQL, 데이터마이닝, 네트워크관리, 시스템운영, Linux, Unix, Windows, 웹프로그래머, Java, C#, Java, Linux, Oracle, Python, SQL, Unix, Windows, 모델링, 시스템분석, 시스템설계, 시스템엔지니어, 튜닝, DBA, Python, 인공지능(AI), 빅데이터, 자연어처리(NLP), 건설안전, 산업안전, 시설관리, 안전, 가스점검"
