title,company,location,link
남부공항서비스(주) 각 부문,남부공항서비스,부산 강서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ef64a553bdd65b10
[2020년 수도권 혁신기업 온라인 박람회] 2020년 하반기 정규직 공개,인피니트헬스케어,부산 해운대구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=634e13852762873f
[] 2020년도 지역주도형 청년일자리 사업 [B-소셜 청년JOB 드림사업] 2차 청년,부산디자인센터,부산 해운대구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b48ea8c7a2af7429
직원 ( 제2020-7호),한국청소년상담복지개발원,부산,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=16299d8d3db1e43e
2020년 IT 보안운영 부문 경력직,에이케이아이에스마포,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e7ca3eba109b2dbd
"[일반사무] 평일야간, 주말야간",쉬프트,부산 해운대구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5ccfc5232b341130
업무보조원,부산정보산업진흥원,부산 해운대구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1dc1a15bcd878ccf
서울메트로 전문업무직(IT분야),None,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=dd4fe977f55cd15a
부산시중앙신협 사무 정직원,부산시중앙신협,부산 남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8e2fd2cd2f7e5575
2020년도 형 청년인턴,한국자산관리공사,부산 남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=638ed330d557b380
"[시급1만원][부산,기장] 모바일게임 테스터,모니터링,아이템관리,아이템등록",유엔에스종합건설,부산,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0043d48042abd89d
"프로그램개발(C#, MS-SQL), IT관리(서버, 네트워크, 보안 등)",세영글로벌,부산 강서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6e096b12dab22161
IT Helpdesk Analyst (정규직),노보텍아시아코리아,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d1f30730c019b394
2020년 지원부문 경력직 [IT기획],현대글로비스,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d8a461a23cf1a9b0
[SK M&Service] IT정보보호 담당자,에스케이엠앤서비스,서울 중구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=befc241bf7b17876
[IT] CX 플랫폼 IT 기획,None,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b5b15622023da6a5
IT 전산팀 주임 경력직(2년이상),비스퀘어,경상북도 구미,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=771ba30319868dec
"태흔IT닷컴 온라인 쇼핑몰(오픈마켓,블로그,소셜커머스) 판매 및 관리",태흔IT닷컴,부산 부산진구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d8a8b19d2b1e0466
수협중앙회 2020년 하반기 통신직 직원,수산업협동조합중앙회,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=281d1f1285ff3ccf
"[외국계기업] IT 솔루션 B to B 기업영업 경력자(10년 이하, 영어가능자)",에이치알컨설팅그룹,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=611d0c254ee0ded8
2020년도 하반기 정규직,한국해양과학기술원 부설 선박해양플랜트연구소,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3357470a44af8b46
IT Specialist,Mindray,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c33d47ba80a2cc72
[대형IT콘텐츠기업] 일본어 번역 컨텐츠 운영,피플온,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9bc8e45e6b2f57d9
2020년도 4직급(대졸)직원 (정보통신),한국중부발전,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5dde760c771524f9
서울산업진흥원 제2차 신입사업,None,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=802a3afb7603a1b7
BNK 부산은행 전산유지보수 직원,비아이에스,부산 남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=12cc8084ac52cebc
카미스타 야구복 디자이너 단기근무,유니다,부산,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=415874f4c9f4f728
한림대학교 2020년 정규직원,한림대학교,강원도 춘천,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=cad608db8ce6fd73
[촉탁직] SK Hynix M16공장 IT인프라 설계 및 신규시스템 구축 TA 인력,None,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=83fd98cac070f911
유튜브 브이로그 영상편집해주실분 (자택근무),극단라면,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=676da6337522b3ba
"2020년도 4직급(대졸, 경력) 직원",한국중부발전,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1b9a807ecc142171
일반임기제공무원(IT H/W 자원관리 전산전문요원),None,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ae30fabd8ad4776d
[코어뱅킹] 여신업무 IT 담당자,한국카카오은행,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=37ebb4a383f614cc
"IT기술지원, 유지보수 외 경력 정규직, 계약직",휴먼컨설팅그룹,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2d987bd471deb481
"유지보수, IT기술지원 외 신입/경력 정규직",네오비트,경상남도 진주,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e0be3b5a76f85f8b
2020년 하반기 신입/경력,SK바이오랜드,충청남도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0c396c4dfece2562
전자부품연구원 (KETI) 정규직 공개,None,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c85020d671e449e7
"일반사무, 사무보조 외 신입 정규직",셀콤,부산 금정구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=287dd12da067428a
오피스프로그램전문가,말하는수학학원,부산 동래구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6c2b069bf5e5a889
"IT System Data Analyst, Senior Associate",State Street,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ce076e7817d276c3
"[해외취업] 베트남, PDSOFT, IT컨설턴트","PDSOFT CO., LTD",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0be9dd94084fbdb9
"일반계약직, 출산휴가 및 육아휴직 대체인력",부산정보산업진흥원,부산 해운대구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bc88f0a5d09571da
2020년 하반기 경력사원 (IT(Digital Transformation)부문),None,서울 종로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8cc9b4c1f8813564
IT본부 경력직,KB증권,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=52fbfa288d78c3bf
IT Service Management - (B4),Applied Materials Inc.,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8fa905900781501c
2020년 한국여성인권진흥원경쟁,한국여성인권진흥원,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=90ad5c0cda18724d
Thinkwise 사용법 잘아시는 분,말하는수학학원,부산 동래구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c7d0f98547ec4772
[대전/세종] IT 사업관련 사무관리 및 경영지원 계약직,시야인사이트,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d1b8d1a87741f27c
2020년 대한체육회 신입직원 (정정),대한체육회,서울 송파구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3ba12b8278f015b5
서울시데이터센터 IT전문교육 강사,None,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4d2b8994b9d8ed4c
2020년 지원부문 경력직 [IT기획],현대글로비스,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d8a461a23cf1a9b0
IT 전산팀 주임 경력직(2년이상),비스퀘어,경상북도 구미,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=771ba30319868dec
"태흔IT닷컴 온라인 쇼핑몰(오픈마켓,블로그,소셜커머스) 판매 및 관리",태흔IT닷컴,부산 부산진구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d8a8b19d2b1e0466
수협중앙회 2020년 하반기 통신직 직원,수산업협동조합중앙회,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=281d1f1285ff3ccf
[SK M&Service] IT정보보호 담당자,에스케이엠앤서비스,서울 중구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=befc241bf7b17876
"[외국계기업] IT 솔루션 B to B 기업영업 경력자(10년 이하, 영어가능자)",에이치알컨설팅그룹,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=611d0c254ee0ded8
2020년도 하반기 정규직,한국해양과학기술원 부설 선박해양플랜트연구소,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3357470a44af8b46
IT Specialist,Mindray,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c33d47ba80a2cc72
